City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain (inches),Snow (inches)
270,Cidreira,BR,-30.18,-50.21,66.33,86,0,8.72,clear sky,0.0,0.0
271,Grand Baie,MU,-20.02,57.58,75.99,71,10,11.01,clear sky,0.0,0.0
272,Pimentel,PE,-6.84,-79.93,64.09,87,17,12.44,few clouds,0.0,0.0
273,Horsham,GB,51.06,-0.33,59.0,87,20,11.41,light rain,0.0,0.0
274,Chara,RU,56.91,118.26,69.48,37,60,5.32,light rain,0.17,0.0
275,Seymchan,RU,62.88,152.43,80.02,25,0,5.59,clear sky,0.0,0.0
276,Mackay,AU,-21.15,149.2,73.0,78,0,9.17,clear sky,0.0,0.0
277,Palabuhanratu,AU,-21.15,149.2,73.0,78,0,9.17,clear sky,0.0,0.0
278,La Libertad,EC,-2.23,-80.9,71.37,86,93,8.9,overcast clouds,0.0,0.0
279,Sorland,NO,67.67,12.69,58.69,69,62,10.38,broken clouds,0.0,0.0
280,Amderma,NO,67.67,12.69,58.69,69,62,10.38,broken clouds,0.0,0.0
281,Saint-Pierre,RE,-21.34,55.48,77.0,69,20,18.34,few clouds,0.0,0.0
282,Edinburg,GB,55.95,-3.2,57.2,87,20,5.82,light rain,0.38,0.0
283,Tual,ID,-5.67,132.75,80.24,82,32,20.62,scattered clouds,0.0,0.0
284,Tuatapere,NZ,-46.13,167.68,39.0,83,2,3.0,clear sky,0.0,0.0
285,Alexandria,EG,31.22,29.96,73.4,60,0,9.17,clear sky,0.0,0.0
286,Scarborough,GB,54.28,-0.4,57.0,90,100,3.0,light rain,0.38,0.0
287,Fortuna,US,40.6,-124.16,61.0,100,90,6.93,overcast clouds,0.0,0.0
288,Coquimbo,CL,-29.95,-71.34,51.8,93,48,11.41,scattered clouds,0.0,0.0
289,Kaeo,NZ,-35.1,173.78,57.0,3,69,5.99,broken clouds,0.0,0.0
290,Zhigansk,RU,66.77,123.37,82.31,26,0,7.99,clear sky,0.0,0.0
291,La Ronge,CA,55.1,-105.28,51.8,71,90,1.52,overcast clouds,0.0,0.0
292,Sitka,US,57.05,-135.33,50.0,81,90,1.99,overcast clouds,0.0,0.0
293,Vytegra,RU,61.01,36.45,57.87,50,0,4.25,clear sky,0.0,0.0
294,Ottumwa,US,41.02,-92.41,70.0,83,75,3.33,broken clouds,0.0,0.0
