City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Zamania,IN,2020-06-18 05:28:32,25.43,83.57,83.98,71,100,13.09
267,Cidreira,BR,2020-06-18 05:28:32,-30.18,-50.21,63.34,84,69,8.55
268,Gravelbourg,CA,2020-06-18 05:28:32,49.88,-106.55,50.23,88,100,12.82
269,Los Llanos De Aridane,ES,2020-06-18 05:28:32,28.66,-17.92,69.8,73,75,3.36
270,Labrea,BR,2020-06-18 05:28:33,-7.26,-64.8,74.03,77,68,0.78
271,Avera,US,2020-06-18 05:28:33,33.19,-82.53,64.4,79,75,4.79
272,North Battleford,CA,2020-06-18 05:28:33,52.78,-108.28,51.01,81,90,17.22
273,Hovd,MN,2020-06-18 05:28:33,48.01,91.64,76.03,27,98,7.76
274,Andilamena,MG,2020-06-18 05:28:34,-17.02,48.58,56.41,81,37,12.28
275,Lebork,PL,2020-06-18 05:28:34,54.54,17.75,66.99,93,40,6.93
276,Klaksvik,FO,2020-06-18 05:28:34,62.23,-6.59,48.2,100,100,2.24
277,Belmopan,BZ,2020-06-18 05:28:34,17.25,-88.77,75.0,76,100,2.19
278,Teguldet,RU,2020-06-18 05:28:35,57.31,88.17,73.11,45,59,4.92
279,Makakilo City,US,2020-06-18 05:28:35,21.35,-158.09,80.6,73,40,6.93
280,Eureka,US,2020-06-18 05:24:02,40.8,-124.16,57.99,100,0,5.55
281,Nha Trang,VN,2020-06-18 05:28:35,12.25,109.18,93.2,59,20,9.17
282,Barentu,ER,2020-06-18 05:28:35,15.11,37.59,79.38,59,0,10.04
283,Rosarito,MX,2020-06-18 05:28:36,32.33,-117.03,62.6,77,75,4.7
284,Jibuti,DJ,2020-06-18 05:28:36,11.5,42.5,90.16,32,100,8.19
285,Uyuni,BO,2020-06-18 05:28:36,-20.46,-66.83,38.66,54,54,9.93
286,Russell,US,2020-06-18 05:28:36,32.35,-85.2,73.4,88,90,3.36
287,Mikuni,JP,2020-06-18 05:28:36,36.22,136.15,73.4,73,75,13.87
288,Ilulissat,GL,2020-06-18 05:28:37,69.22,-51.1,33.8,86,3,3.36
289,Komyshuvakha,UA,2020-06-18 05:28:37,47.72,35.53,75.2,64,52,8.95
290,Belmonte,BR,2020-06-18 05:28:37,-15.86,-38.88,66.2,93,40,6.93
291,Sao Joao Da Barra,BR,2020-06-18 05:28:37,-21.64,-41.05,69.01,74,17,7.31
292,Sioux Lookout,CA,2020-06-18 05:28:37,50.1,-91.92,77.0,61,40,16.11
293,Haines Junction,CA,2020-06-18 05:28:37,60.75,-137.51,55.72,56,93,5.28
294,Bubaque,GW,2020-06-18 05:28:38,11.28,-15.83,80.44,86,80,16.82
295,Murray Bridge,AU,2020-06-18 05:28:38,-35.12,139.27,63.0,60,46,4.0
296,Faya,SA,2020-06-18 05:28:38,18.39,42.45,80.6,15,75,12.75
297,Ust-Kut,RU,2020-06-18 05:28:38,56.79,105.77,72.1,29,2,2.91
298,Isangel,VU,2020-06-18 05:28:39,-19.55,169.27,75.16,67,10,10.96
299,Saldanha,ZA,2020-06-18 05:28:39,-33.01,17.94,46.4,75,0,3.36
300,Fort Nelson,CA,2020-06-18 05:28:39,58.81,-122.7,60.8,77,20,4.7
301,Abha,SA,2020-06-18 05:28:39,18.22,42.51,80.6,15,79,12.75
302,Luderitz,NA,2020-06-18 05:28:40,-26.65,15.16,69.33,23,0,24.11
303,Gushikawa,JP,2020-06-18 05:28:40,26.35,127.87,87.8,79,20,20.8
304,Fortuna Foothills,US,2020-06-18 05:28:40,32.66,-114.41,88.0,28,1,5.82
